input_question,automodel,trained_model,bayesian_model
화상연고도 처방이 되나요?,저희 병원에서 사용되는 의약품은 아래층에 행복 약국에서 구매가 가능합니다.,진료실 옆 대기석에 등받이 있는 의자가 있습니다. 안내해 드리겠습니다.,우측 복도 끝에 위치해 있습니다. 심리평가실까지 안내해 드리겠습니다.
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,어서 오십시오. 성함과 연락처를 앞에 적어주시면 확인 후 접수 도와드리겠습니다.,죄송합니다. 앞서 예약하신 손님이 있어서 예약시간대로 기다려주셔야 합니다.,긴급상황이라면 응급실로 이동하셔서 진료 보실 수 있습니다. 응급실 건물로 가주시면 됩니다.
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,대기하시기 전에 접수증 작성 부탁드립니다.,앞선 예약이 없어서 가능합니다. 예약시간 한 시간 미뤄 드리겠습니다.,반갑습니다. 1층 통합 창구에서 번호표를 뽑고 기다려 주시면 안내 도와드리겠습니다.
"피가 계속 나는데, 저 죽는 걸까요?",긴급상황이라면 응급실로 이동하셔서 진료 보실 수 있습니다. 응급실 건물로 가주시면 됩니다.,피부 사정에 따라 달라서 말씀드리기 어렵습니다. 증상은 사람마다 다릅니다.,1층 창구에서 진료 접수를 할 수 있습니다. 저를 따라오시면 안내해 드리겠습니다.
접수 재등록해도 되나요?,마감 정산이 필요하여 지금 수납해 주시면 원활한 처리가 가능합니다.,제가 안내해 드리겠습니다. 이쪽으로 따라오시면 됩니다.,현재 고객님 앞의 대기자가 0명이기 때문에 즉시 진료 보실 수 있습니다.
오래된 상처 흉터도 없어질까요?,미용 목적의 수술의 경우 진단서 발급이 따로 어렵습니다.,잠시만 기다려 주십시오. 우선적으로 내과를 접수하시면 되겠습니다.,정밀 검사 후에 감마 상태를 보고 결정될 것 같습니다.
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,정수기는 진료 대기실 앞쪽에 있습니다. 감사합니다.,수액 클리닉 실은 복도 끝에 있습니다. 수액 클리닉 실로같이 동행하겠습니다.,맞습니다. 증상 상담 시 자세한 증상을 알려주시길 부탁드립니다.
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,진료는 진료실에서 전문가와 함께 상담 부탁드립니다.,"흉부외과를 먼저 진료 보신 후, 담당 의사 선생님과 자세히 상담하시길 추천드립니다.",상담 접수를 진행하였습니다. 접수 완료 문자를 등록된 번호로 전송합니다.
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",체온 측정을 데스크에서 도와드리겠습니다. 데스크로 이동해 주시기 바랍니다.,검사 접수 도와드리겠습니다. 지금 드리는 문진표를 작성해 주십시오.,의사선생님이 오시면 환자분의 증상에 대한 자세한 상담을 받으실 수 있습니다.
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",평범한 감기일 수도 있으니까 너무 걱정 마십시오. 열이 나는 것 이외에 증상 있으십니까?,평범한 감기일 수도 있으니까 너무 걱정 마십시오. 열이 나는 것 이외에 증상 있으십니까?,상담 접수를 진행하였습니다. 접수 완료 문자를 등록된 번호로 전송합니다.
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",예약 가능 시간을 조회 중입니다. 대기해 주시기 바랍니다.,증상 기록을 시작합니다. 옆에 체온계에서 체온을 측정해 말씀해 주시기 바랍니다.,잇몸 염증이 심하신 것 같습니다. 자세한 부분은 진료 후 말씀드리겠습니다.
 도대체 대기실이 어디에요? 어디로 가라는거에요?,대기실 안내를 시작하겠습니다. 직접 안내해 드리겠습니다.,앞 진료 환자분 곧 나오실 겁니다. 진료실 앞에서 기다리시는 걸 권장 드립니다.,엑스레이 촬영은 반대쪽 복도입니다. 제가 함께 가겠습니다. 저를 천천히 따라오세요.
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,예약시간 10분이 넘어가면 자동 예약 취소됩니다. 현장 접수하시고 대기해 주시길 바랍니다.,"좌측에 보시면 정수기가 있는데, 그 사잇길로 들어가시면 됩니다.",저를 따라오시길 바랍니다. 진료실까지 신속히 안내해 드리겠습니다.
대기시간이 얼마나 남은거죠?,대기인원이 있어 정확한 대기 시간을 말씀드리기 어렵습니다. 이쪽 대기실에 앉아 주십시오.,대기 인원이 있어 정확한 대기 시간을 말씀드리기 어렵습니다. 이쪽 대기실에 앉아 주십시오.,앞에 164번 고객님 접수가 지연되어 약 10분의 추가 대기가 있을 예정입니다.
진료실이 저기로 가면 되나요? 어느 방향이에요?,진료실은 지하 2층에 있습니다. 왼쪽에 있는 엘리베이터를 이용하실 수 있습니다.,진료실은 지하 2층에 있습니다. 왼쪽에 있는 엘리베이터를 이용하실 수 있습니다.,여기는 3층으로 정형외과입니다. 안과는 2층으로 내려가셔야 합니다.
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",죄송합니다. 현재는 예약 손님 우선 진료 중이오니 조금만 기다려 주세요.,이쪽에서 왼쪽 바로 앞에 보이시는 대기실에서 대기해 주시면 감사하겠습니다.,네 가능하십니다. 저희 병원 홈페이지 하단에 예약 접수 버튼을 클릭하시고 예약해 주십시오.
약국이 어디로 가야 하나요?,병원 앞에서 버스를 타셔야 합니다. 아무 버스나 탑승하신 다음 한 정거장 뒤에 내리시면 됩니다.,"원내 약국은 1층 입구 왼쪽에 있고, 병원 밖으로 나가시면 오른쪽에 바로 약국이 있습니다.",역방향으로 30m 걸어가시면 약국이 한 개 있습니다. 현재 영업 중입니다.
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,근방 약국이 네 개 정도 있습니다. 우측 또는 좌측으로 걸어가 보시면 됩니다.,약국은 상관없습니다. 병원 건물에 있는 약국이 가장 가까우니 참고하시기 바랍니다.,접수 먼저 부탁드립니다. 카운터에서 성함을 입력해 주시길 바랍니다.
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,강남역 근처에 있는 평화 약국이 야간까지 운영합니다.,약국마다 취급하는 약의 종류가 다릅니다. 참고하십시오.,죄송합니다. 말씀하신 내용을 이해하지 못했습니다. 다시 말씀해 주십시오.
아래 약국 말고 다른 약국은 어디에 있어요?,본원 1km 근방 GS칼텍스 주유소 옆에 희망 약국이 있습니다.,건물 밖 왼쪽으로 직진하시어 사거리로 나가시면 약국이 있습니다.,약국은 해당 건물 5층에 있습니다. 현재 바로 처방 가능합니다.
말 한 곳에 약국이 없는데요?,건물 밖으로 나가시면 바로 보이는 버스 정류장 옆에 약국이 있습니다.,건물 밖 왼쪽으로 직진하시어 사거리로 나가시면 약국이 있습니다.,같은 건물 내에 위치해 있습니다. 병원 출구에서 나가셔서 꺾으시면 보일 겁니다.
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,수납처는 현 위치 기준 정면에 위치해 있습니다.
수납한거에 보험료 적용이 된건가요?,상처 봉합하신 것은 간단한 수술이어서 진료비만 같이 포함되어 있습니다.,수납 창구는 원내 1층에 진료 접수처 아 옆에 있습니다.,A동 1층 수납창구로 가셔서 안내원에 지시에 따라 결제해 주시면 됩니다.
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,수납 키오스크에서 회원카드 없이도 수납이 가능합니다. 키오스크에 수납 버튼을 누르고 고객님의 생년월일을 입력해 주십시오.,불편을 드려서 죄송합니다. 즉시 도움을 요청하도록 하겠습니다.,저희 병원은 피검사는 보험 적용이 가능하지만 초음파검사가 비보험으로 보험 적용이 안됩니다.
"계산하고, 진료비 영수증을 받을 수 있나요?",원무과 직원에게 성함을 말씀해 주시면 발급이 가능합니다.,"수납 시 영수증 발급을 선택해 주시거나, 영수증을 요청하시면 발급됩니다.",안내 데스크에 요청해 주시면 병원 직원이 안내해 드리겠습니다.
지역화폐로 결제 되나요? 안되면 카드로 할게요.,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,지역화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,"카드, 현금 둘 다 가능합니다. 수납은 우측 문을 통해 나가시면 가능합니다."
무인 발급기가 어디있는지 모르겠어요.,무인 수납기 옆에서 사용법을 안내해 드리겠습니다. 저를 따라오시기 바랍니다.,기다려 주시면 발급을 도와드리겠습니다.,"통합 민원실로 가셔서 추가로 2,000원을 납부하시면 발급해 드리겠습니다."
보험사에 어떤 서류를 제출해야 하죠?,보험사마다 상이하여 정확히 알려드릴 수 없습니다. 보험사에 문의해 주시길 바랍니다.,보험 비용 청구 가능한 자료 발급해 드리겠습니다.,진단서 작성 시 의사의 의학적 소견이 필요하기 때문에 이는 의사의 진료 행위에 포함되기에 그렇습니다.
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,"추가로 출력해 드리겠습니다. 오늘 수납하실 금액은 2,700원입니다.",출력해 드리겠습니다. 세부 진료 비용은 영수증 내역에서 확인해 주시기 바랍니다.,"진단서 발급의 경우, 의사 선생님과 협의가 필요합니다."
"소견서 발급해주신다고 했는데, 아직인가요?",5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,5분 정도 대기해 주시면 소견서 발급 도와드리겠습니다.,죄송합니다. 당일 의사 소견서는 따로 제공되지 않습니다.
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",수납 내역을 확인 중입니다. 수납 내역이 확인되었습니다. 영수증은 출력 시간 20초 소요됩니다.,네. 현금으로 진료비 결제 시 현금영수증 발급해 드립니다.,"증빙서류 신청 전화접수로 완료되셨고, 성함 확인 후 즉시 발급 예정입니다."
다음 예약 안 할게요.,찾아주셔서 감사합니다. 다음에도 편안하게 모시겠습니다. 감사합니다.,이용해 주셔서 감사합니다. 다음번에도 최선을 다해 도와드리겠습니다.,오후 네시에는 다른 환자분께서 이미 예약을 하셨습니다. 그 이후로는 언제든 예약 가능하십니다.
다음번 예약시간은 나중에 다시 정할게요.,이용해 주셔서 감사합니다. 방문 전 반드시 예약을 해주시길 부탁드립니다.,예약하실 때 카카오톡 채널을 이용해 주시면 됩니다. 감사합니다.,가장 빠른 일정은 한 달 후 11월 22일에 가능하십니다. 괜찮으시면 예약 도와드리겠습니다.
이번주 금요일로 다음예약 잡아주세요.,죄송합니다. 해당 시간에는 이미 예약이 차있습니다. 다른 시간을 불러주십시오.,네 다음 주 월요일 점심시간 이후로 예약 도와드리겠습니다.,예약 가능 여부를 확인해 보겠습니다. 잠시만 기다려 주십시오.
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",다음 주 금요일은 피부과 휴무일입니다.,다음 주 금요일은 피부과 휴무일입니다.,"예약 가능하신 날은 월요일, 수요일입니다. 시간대는 모두 가능합니다."
인터넷으로 미리 다음번 예약을 할 수 있나요?,병원 홈페이지 진료 예약 메뉴에 들어가시면 진료 예약이 가능합니다.,일요일은 불가능하십니다. 원하신다면 토요일로 예약을 잡아드리겠습니다.,죄송하지만 접수 마감시간인 6시 30분까지는 방문해 주셔야 합니다.
