question,label,predicted_label,best_answer,cosine_similarity
화상연고도 처방이 되나요?,4,2,화상은 보이는 것보다 심할 수 있어서 진단받으시는 걸 추천드립니다.,0.995641827583313
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,4,4,접수처는 이곳 한 곳뿐입니다. 대기번호에 따라 차례대로 불러드리고 있습니다.,0.9968673586845398
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,4,4,어서 오십시오 김정아 님. 엑스레이 촬영과 CT 촬영 예약 확인되었습니다.,0.9999750852584839
"피가 계속 나는데, 저 죽는 걸까요?",4,2,돌발성 난청 증상과 유사합니다. 진단 시 더 확실하게 확인이 필요합니다.,0.9999780654907227
접수 재등록해도 되나요?,4,4,안녕하세요 생년월일 말씀해 주시면 바로 접수 확인 도와드리겠습니다.,0.9998348951339722
접수 시간이 지났는데 혹시 대기순번이 넘어갔나요?,4,4,1층 입구에서 오른쪽으로 가시면 진료 접수처가 있는 곳에서 접수가 가능합니다.,0.9999669194221497
접수가 왜이렇게 오래 걸려요?,4,4,점심시간이 10분 남았습니다. 접수 먼저 하신 뒤 기다려주시기 바랍니다.,0.9999501705169678
"다음에 들어가는 순번인데, 잠깐 화장실 다녀와도 되나요?",4,6,3 진료실로 이동해 주시기 바랍니다. 동반 주행 서비스를 이용하실 경우 말씀해 주시기 바랍니다.,0.9999797940254211
접수하려고요.,4,4,가능하십니다. 현재 진료 보시는 분 진료 끝나면 바로 안내해 드리겠습니다.,0.999935507774353
진료 접수 어떻게 하죠?,4,4,창구에서 성함 확인 후 치료 예약 도와드리겠습니다.,0.9999567866325378
오래된 상처 흉터도 없어질까요?,2,2,5분 정도 대기 후에 진료 보러 들어가겠습니다. 기다려 주십시오.,0.9999957084655762
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,2,6,진료실 옆 대기석에 등받이 있는 의자가 있습니다. 안내해 드리겠습니다.,0.969562292098999
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,2,2,움직이지 못하는 만큼 근육의 힘이 약해졌을 수 있습니다. 원장님께 해당 증상을 전달하겠습니다.,0.99998539686203
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",2,2,귀가 안 들리시게 된 원인에는 여러 가지가 있습니다. 원인 파악이 우선입니다.,0.999974250793457
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",2,2,자세한 진료를 통해 발치 가능 여부를 확인해 드리도록 하겠습니다.,0.99994295835495
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",2,2,차트에 기록해 두겠습니다. 자세한 증상은 의사와 상담하시기 바랍니다.,0.9999806880950928
어제부터 배가 아프고 열도 계속 나는 거 같아요.,2,2,말씀해 주신 증상 기록되었습니다. 잠시 기다려 주시면 진료실로 안내해 드리겠습니다.,0.9999838471412659
목소리가 안나와요.,2,2,소요 시간은 20분에서 30분 사이입니다.,0.9742040634155273
지난주부터 몸살기가 있었어요.,2,2,증상을 원장님께 전달해 드리겠습니다.,0.9999881982803345
"장염 나은지 얼마 안됐는데, 또 걸린거 같아요.",2,2,언제부터 그런 증상이 생겼는지 말씀해 주시겠습니까?,0.9999960660934448
"아이가 넘어져서 팔꿈치가 까졌는데, 진물이 계속 나요.",2,2,이연심님 수액 치료를 예약합니다. 진료 후에 수액실로 이동해 주시길 바랍니다.,0.999994158744812
 도대체 대기실이 어디에요? 어디로 가라는거에요?,6,6,위층으로 이동해 주셔야 합니다. 올라가신 다음 진료실 옆에서 대기해 주십시오.,0.999984622001648
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,6,0,저희 병원은 야간진료를 하고 있지 않습니다.오후 여섯시 이전 시간대로 예약 부탁드립니다.,0.9712564945220947
대기시간이 얼마나 남은거죠?,6,6,오른쪽에 의자에서 잠깐만 기다려주시면 곧 진료 도와드리겠습니다.,0.9999645948410034
진료실이 저기로 가면 되나요? 어느 방향이에요?,6,6,김경준 원장님 진료실은 우측 복도 끝 진료실 1로 들어가면 됩니다. 진료실 앞에서 대기해 주세요.,0.9999862909317017
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",6,6,일반 병실로는 걸어서 가실 수 있습니다. 옆 건물로 다시 이동해 주십시오.,0.9996417760848999
대기실로 안내해주세요.,6,6,청력검사 대기실은 왼쪽 복도로 직진하시면 위치해 있습니다.,0.9999563097953796
진료실 옆에 대기실이 있나요?,6,6,좌측으로 꺾은 다음 쭉 가시면 진료실이 있습니다. 진료실 A입니다.,0.9999826550483704
진료실이 1층인가요?,6,6,진료실 위치는 대기실 바로 옆으로 바뀌었습니다. 저를 따라오시면 직접 안내하겠습니다.,0.9999759197235107
"대기실에서 기다리라고 했는데, 어디서 기다려요?",6,6,10분 정도 후에 의사 선생님이 들어오실 것으로 예상됩니다. 감사합니다.,0.9999813437461853
대기실이랑 진료실이랑 방향이 다른가요?,6,6,주사실은 1층으로 내려가셔야 합니다. 주사실이라고 적힌 팻말이 있습니다.,0.9999739527702332
약국이 어디로 가야 하나요?,1,1,큰 대로변에 신호등을 건너시고 앞으로 직진하시면 약국이 있습니다.,0.9999858140945435
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,1,1,가장 가까운 약국은 병원에서 110m 떨어져 있는 곳에 위치해있습니다.,0.9994909167289734
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,1,1,그렇습니다. 안내받으신 약국이 말씀하신 대로 새 생명 약국이 맞습니다.,0.9999787211418152
아래 약국 말고 다른 약국은 어디에 있어요?,1,1,문원 1km 근방 GS 칼텍스 주유소 옆에 희망 약국이 있습니다.,0.9999865889549255
말 한 곳에 약국이 없는데요?,1,1,죄송합니다. 말씀하신 내용을 이해하지 못했습니다. 다시 말씀해 주십시오.,0.9999868869781494
약국 어떻게 가요?,1,1,저희 병원에서 횡단보도 건너시면 시계 약국이라고 있습니다.,0.9999452829360962
약국이 몇층에 있죠?,1,1,병원에서 가장 가까운 약국은 동백 약국으로 정문에서 버스정류장으로 500m 앞에 있습니다.,0.9999873042106628
근처 약국 어디가 있는지 알려주세요.,1,1,원내 약국은 1층 입구 왼쪽에 있고 병원 밖으로 나가시면 오른쪽에 바로 약국이 있습니다.,0.9999815821647644
약국까지 데려다 주세요.,1,1,현행법상 약을 대신 처방 받아 드릴 수는 없습니다. 양해 부탁드립니다.,0.9999611377716064
약국 까지 오래걸리나요? 너무 힘든데,1,1,네 저희 병원 환자 수가 워낙 많아서 약국도 많습니다. 주변에 아무 약국이나 방문하시면 됩니다.,0.9999750256538391
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,3,3,네 수술 비용은 나눠서 결제하실 수 있습니다.,0.9981323480606079
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",3,3,할부 가능합니다. 할인되는 카드는 특별히 목록이 없습니다.,0.9999522566795349
"계산하고, 진료비 영수증을 받을 수 있나요?",3,3,저희 병원은 상담비용에 관해서는 비용이 따로 발생하지 않습니다. 감사합니다.,0.9998640418052673
수납한거에 보험료 적용이 된건가요?,3,3,네 가능하십니다. 병원 대표 계좌번호로 송금을 해주시면 되겠습니다.,0.9999480843544006
지역화폐로 결제 되나요? 안되면 카드로 할게요.,3,3,현재 롯데카드 3개월까지 무이자 할부 적용되는 것으로 확인되십니다.,0.9999843239784241
카드로 결제할게요.,3,3,"약은 약국에서 처방받으신 뒤 약국에서 결제하시면 됩니다. 진료비와 수액처방을 포함한 진료비는 총 37,000원입니다.",0.9999908208847046
이만원은 현금 결제하고 나머지 카드로 할게요.,3,3,"KB 국민카드, 삼성카드, 현대카드 무이자 할부 적용되는 것으로 확인됩니다.",0.9999732375144958
카드 결제 한 거 할부로 다시 결제하고 싶어요.,3,3,가능합니다. 사업자 번호나 핸드폰 번호 여기 입력해 주시면 발급해 드리겠습니다.,0.9999644756317139
결제 해주세요.,3,3,무인 수납기에서 한 번에 수납하실 수 있습니다. 무인 수납기까지 안내해 드리겠습니다.,0.9998347163200378
결제 어떻게 해요? 카드 리더기가 어디있어요?,3,3,결제 도와드리겠습니다. 서류 발급은 수납처로 가시면 됩니다.,0.9999755620956421
무인 발급기가 어디있는지 모르겠어요.,5,5,영수증 발급을 요청했습니다. 수령 장소까지 안내해 드리겠습니다.,0.9996716976165771
보험사에 어떤 서류를 제출해야 하죠?,5,5,잠시만 기다려주시면 서류 준비 후 호명해 드리겠습니다.,0.9999872446060181
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,5,5,의무 기록 사본 발급 시 본인이 직접 발급하신다면 신분증만 지참하시면 됩니다.,0.9998847246170044
"소견서 발급해주신다고 했는데, 아직인가요?",5,5,서류 발급 진행 중입니다. 소요시간 5분 예상됩니다.,0.999971330165863
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",5,3,하이패스 등록 여부는 1층 원무과로 방문하시거나 수납 시 확인 가능합니다.,0.996002197265625
환자용 처방전 하나 더 프린트 해주세요.,5,4,접수처는 이곳 한 곳뿐입니다. 대기번호에 따라 차례대로 불러드리고 있습니다.,0.91428542137146
"실비보험 신청하려고 하는데, 진료비계산서 뽑아주세요.",5,3,"추가로 출력해 드리겠습니다. 오늘 수납하실 금액은 2,700원입니다.",0.9971497058868408
회사에 낼 증빙서류 좀 뽑아주세요.,5,5,환자 보관용 처방전 출력을 시작하겠습니다. 잠시 대기 부탁드립니다.,0.9999856352806091
처방전에 감기 증상으로 내원이라고 적어주세요.,5,2,증상 기록을 시작합니다. 옆에 체온계에서 체온을 측정해 말씀해 주시기 바랍니다.,0.9968737959861755
소견서 어떻게 발급하죠?,5,5,어떤 증빙서류를 말씀하신 건지 확인이 안되었습니다. 다시 한번 말씀해 주십시오.,0.9999783635139465
다음 예약 안 할게요.,0,0,이용해 주셔서 감사합니다. 예약은 평일 18시까지 전화로 가능합니다.,0.9999942183494568
다음번 예약시간은 나중에 다시 정할게요.,0,0,전화 후 혹은 카카오톡 플러스 친구로 연락 주시면 됩니다. 이용해 주셔서 감사합니다.,0.9999977350234985
이번주 금요일로 다음예약 잡아주세요.,0,0,다음 주 화요일인 11월 15일로 예약을 잡아드리겠습니다. 원하시는 시간을 말씀해 주십시오.,0.9999966621398926
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",0,0,예약 완료했습니다. 10분이 지나도 안 오시면 자동으로 취소된다는 점 알려드립니다.,0.9999983310699463
인터넷으로 미리 다음번 예약을 할 수 있나요?,0,0,죄송합니다. 진료 예약은 예약일 2주 전부터 가능합니다.,0.9999980926513672
다음 예약을 안해서 예약 하려고요.,0,0,점심시간에도 진료를 보고 있어 예약이 가능합니다. 예약 도와드리겠습니다.,0.9999963045120239
여기서 다음 진료 예약하면 되나요?,0,0,네 다음 주 월요일 점심시간 이후로 예약 도와드리겠습니다.,0.9999912977218628
다음 진료 예약하려고 하는데요.,0,0,"예약 가능하신 날은 월요일, 수요일입니다. 시간대는 모두 가능합니다.",0.9999915361404419
다음주에 예약 시간 되는 날짜를 알려주세요.,0,0,"일정 조회를 시작하겠습니다. 월, 수, 금중 편하신 날짜에 예약을 도와드리도록 하겠습니다.",0.9999985694885254
"원래 다음주에 예약을 했는데, 날짜를 옮기려고요.",0,0,예약 가능한 일정을 확인 후에 안내를 도와드리겠습니다.,0.999994695186615
